English,Descrtiption
appraisal,"judgment of something, evaluating"
snag,something sharp that sticks out
abdicate,Отречься
neglect,worse than ignoring something
colon,‘:’ or ‘толстая кишка’
Beech,бук
Aspen,осина
protuberance,something that sticks out
Pine,сосна
Willow,ива
Cushion,"Fabric filled with foam, feathers, or other padding material"
tentative,describe something you are unsure or hesitant about
plunder,steal goods
